country,total_infected,total_deaths,total_recovered,death_percent,recovered_percent,continent
Antigua and Barbuda,4118,107,3902,2.6,94.8,North America
Saint Martin,3872,56,1399,1.4,36.1,North America
Liechtenstein,3822,61,3615,1.6,94.6,Europe
Monaco,3478,36,3400,1,97.8,Europe
Faroe Islands,2939,8,2365,0.3,80.5,Europe
Saint Kitts and Nevis,2749,27,2649,1,96.4,North America
British Virgin Islands,2725,37,2649,1.4,97.2,North America
Caribbean Netherlands,2628,21,2498,0.8,95.1,
Bhutan,2625,3,2616,0.1,99.7,Asia
Anguilla,1137,4,1053,0.4,92.6,
Greenland,990,0,870,0,87.9,North America
Diamond Princess,712,13,699,1.8,98.2,
Wallis and Futuna,445,7,438,1.6,98.4,
Macao,77,0,76,0,98.7,
Montserrat,41,1,40,2.4,97.6,
Solomon Islands,20,0,20,0,100,Oceania
Western Sahara,10,1,8,10,80,
Palau,8,0,8,0,100,Oceania
Vanuatu,6,1,3,16.7,50,Oceania
Marshall Islands,4,0,4,0,100,Oceania
Samoa,3,0,3,0,100,Oceania
Micronesia,1,0,1,0,100,Oceania
Tonga,1,0,0,0,0,Oceania
